symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
NBPGETF,Prophet,NBPGETF_predictions_20260311_152123_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,28.02,2026-03-19,3569.0,100003.38,0.0,34298.08999999998,100000.0,134298.08999999997,0.0,0.3429808999999998,0,0,25,12,0,13,0.3429808999999998,0,1,True
NCPL,Prophet,NCPL_predictions_20260311_111519_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,59.26,2026-03-19,1687.0,99971.62,-1012.2000000000148,58252.11000000002,98987.79999999999,158252.11000000002,-0.010122000000000148,0.5825211000000002,25,0,0,12,0,13,0.5926431000000004,-1,1,True
NESTLE,Prophet,NESTLE_predictions_20260311_111650_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7887.17,2026-03-19,13.0,102533.21,0.0,9336.599999999999,100000.0,109336.6,0.0,0.09336599999999999,0,0,25,9,0,16,0.09336599999999999,0,1,True
NETSOL,Prophet,NETSOL_predictions_20260311_111900_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,102.53,2026-03-19,975.0,99966.75,0.0,44830.500000000015,100000.0,144830.5,0.0,0.4483050000000001,0,0,25,13,0,12,0.4483050000000001,0,1,True
NICL,RandomForest,NICL_predictions_20260311_112200_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,155.61,2026-03-19,643.0,100057.23000000001,-848.7599999999916,22942.240000000005,99151.24,122942.24,-0.008487599999999916,0.22942240000000005,22,0,3,11,0,14,0.23790999999999998,-1,1,True
NSRM,RandomForest,NSRM_predictions_20260311_113020_20260304_20260511.csv,shares,flat,20,2026-03-04,2026-04-09,122.69,2026-03-19,815.0,99992.34999999999,0.0,24710.80000000001,100000.0,124710.80000000002,0.0,0.2471080000000001,3,0,17,3,0,17,0.2471080000000001,0,1,True
OCTOPUS,Prophet,OCTOPUS_predictions_20260311_152320_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,28.59,2026-03-19,3498.0,100007.81999999999,-2658.4799999999905,63768.53999999999,97341.52,163768.53999999998,-0.026584799999999905,0.6376854,8,0,17,13,0,12,0.6642701999999998,-1,1,True
OGDC,Prophet,OGDC_predictions_20260311_113345_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,276.61,2026-03-19,362.0,100132.82,-2276.9800000000287,40536.75999999999,97723.01999999997,140536.75999999998,-0.022769800000000288,0.4053675999999999,17,0,8,10,0,15,0.42813740000000017,-1,1,True
OLPL,Prophet,OLPL_predictions_20260311_113543_20260304_20260511.csv,shares,flat,23,2026-03-04,2026-04-09,47.5,2026-03-19,2105.0,99987.5,0.0,26165.15,100000.0,126165.15,0.0,0.26165150000000004,0,0,23,11,0,12,0.26165150000000004,0,1,True
OML,RandomForest,OML_predictions_20260311_113717_20260304_20260511.csv,shares,flat,17,2026-03-05,2026-04-09,28.6,2026-04-09,3497.0,100014.20000000001,-9022.259999999995,32766.889999999992,90977.74,132766.88999999998,-0.09022259999999994,0.32766889999999993,12,0,5,5,0,12,0.41789149999999986,-1,1,True
OTSU,Prophet,OTSU_predictions_20260311_113919_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,307.38,2026-03-19,325.0,99898.5,0.0,29058.249999999985,100000.0,129058.24999999999,0.0,0.29058249999999985,0,0,25,10,0,15,0.29058249999999985,0,1,True
