symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
BUXL,RandomForest,BUXL_predictions_20260311_070548_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,159.75,2026-03-19,626.0,100003.5,6742.020000000005,29246.720000000005,106742.02,129246.72,0.06742020000000006,0.29246720000000004,18,0,7,8,0,17,0.225047,1,1,True
CCM,Prophet,CCM_predictions_20260311_143937_20260304_20260511.csv,shares,flat,23,2026-03-04,2026-04-09,41.0,2026-03-19,2439.0,99999.0,12975.480000000003,33097.229999999996,112975.48000000001,133097.22999999998,0.12975480000000003,0.33097229999999994,23,0,0,5,0,18,0.2012174999999999,1,1,True
CEPB,Prophet,CEPB_predictions_20260311_071214_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,27.54,2026-03-19,3631.0,99997.73999999999,8242.37000000001,51088.17,108242.37000000001,151088.16999999998,0.0824237000000001,0.5108817,17,0,8,12,0,13,0.4284579999999999,1,1,True
CHAS,Prophet,CHAS_predictions_20260311_071320_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,69.73,2026-03-19,1434.0,99992.82,1319.279999999993,44884.199999999975,101319.28,144884.19999999998,0.01319279999999993,0.44884199999999974,25,0,0,10,0,15,0.4356491999999998,1,1,True
CLOV,Prophet,CLOV_predictions_20260311_071753_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,59.0,2026-03-19,1695.0,100005.0,5627.4,52392.44999999999,105627.4,152392.44999999998,0.056274,0.5239244999999999,8,0,17,14,0,11,0.4676504999999999,1,1,True
CLVL,Prophet,CLVL_predictions_20260311_071947_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,12.84,2026-03-19,7788.0,99997.92,2180.6399999999976,43223.4,102180.64,143223.4,0.021806399999999976,0.432234,16,0,9,11,0,14,0.4104276,1,1,True
CNERGY,XGBoost,CNERGY_predictions_20260311_144138_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.88,2026-03-19,14535.0,100000.8,28343.250000000033,47529.450000000004,128343.25000000003,147529.45,0.2834325000000003,0.47529450000000006,13,0,12,13,0,12,0.19186199999999975,1,1,True
CRTM,Prophet,CRTM_predictions_20260311_072725_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,60.78,2026-03-19,1645.0,99983.1,83566.0,128671.9,183566.0,228671.9,0.83566,1.286719,25,0,0,20,0,5,0.451059,1,1,True
CYAN,RandomForest,CYAN_predictions_20260311_073304_20260304_20260511.csv,shares,flat,6,2026-03-04,2026-03-11,41.91,2026-03-11,2386.0,99997.26,13433.17999999999,19708.359999999993,113433.18,119708.35999999999,0.1343317999999999,0.19708359999999994,3,0,3,4,0,2,0.06275180000000005,1,1,True
DAAG,RandomForest,DAAG_predictions_20260311_073407_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,61.63,2026-03-19,1623.0,100025.49,2126.129999999992,44015.759999999995,102126.12999999999,144015.76,0.02126129999999992,0.4401575999999999,24,0,1,10,0,15,0.4188963,1,1,True
